id,price,license,model,fuel,cc,registration_date,license_changed,owner_changed,total_loss,flood,theft,damaged_count,damaged_total,damaged_by_other_count,damaged_by_other_total,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
37873533,339,23나2377,스파크,가솔린,995cc,2014/08/28,0,6,0,0,0,0,0,0,0,-,보험사보증,"116,919km",없음,없음,없음,없음,없음
37694285,379,38노4676,올 뉴 모닝,가솔린,998cc,2012/05/08,0,0,0,0,0,0,0,0,0,-,보험사보증,"101,299km",없음,없음,없음,없음,없음
37546291,359,31거3742,스파크,가솔린,995cc,2014/04/17,1,5,0,0,0,1,1414520,0,0,-,보험사보증,"112,044km",없음,없음,없음,없음,있음
38585894,289,20라7321,뉴SM3,가솔린,1598cc,2011/06/13,0,4,0,0,0,8,7616087,3,965325,오토,보험사보증,"113,802km",없음,없음,없음,없음,있음
37555902,289,45무1676,뉴모닝,가솔린,999cc,2010/02/19,0,5,0,0,0,1,400400,0,0,오토,보험사보증,"90,230km",없음,없음,없음,없음,없음
37847318,299,36소8294,스파크,가솔린,995cc,2013/03/06,0,3,0,0,0,2,916170,0,0,오토,보험사보증,"92,309km",없음,없음,없음,없음,없음
37460200,790,28거7119,쏘나타 더 브릴리언트,가스,1999cc,2012/09/27,0,0,0,0,0,3,7816488,1,1738826,오토,자가보증,"71,128km",없음,없음,없음,없음,있음
37031358,1750,19더4463,더 뉴 쏘렌토,디젤,1995cc,2018/01/03,0,1,0,0,0,1,761458,0,0,오토,보험사보증,"144,428km",없음,없음,없음,없음,없음
37951039,1100,326로9177,더 뉴 K3,가솔린,1591cc,2017/01/02,1,2,0,0,0,2,1487490,0,0,오토,보험사보증,"66,522km",없음,없음,있음 / 렌트,없음,없음
38273119,1750,226서2718,더 뉴 QM6,가스,1998cc,2020/07/13,1,3,0,0,0,1,1490681,1,754049,오토,보험사보증,"85,175km",없음,없음,없음,없음,없음
38273172,750,34로8649,아반떼 MD,가솔린,1591cc,2012/12/04,0,4,0,0,0,3,4628488,3,2473230,오토,보험사보증,"73,651km",없음,없음,없음,없음,있음
37874554,6650,187나3043,GV80,가솔린,3470cc,2022/07/22,0,1,0,0,0,1,2058785,0,0,오토,보험사보증,"23,636km",없음,없음,없음,없음,없음
37951405,920,69수8763,더 뉴 K5,가솔린,1999cc,2014/01/17,0,3,0,0,0,3,4858550,3,1348090,오토,보험사보증,"88,616km",없음,없음,없음,없음,있음
38434192,2600,805부4347,더 뉴 렉스턴 스포츠 칸,디젤,2157cc,2021/12/23,0,1,0,0,0,2,1818660,1,6108410,오토,자가보증,"46,921km",없음,없음,없음,없음,없음
38453894,3050,824노6054,더 뉴 렉스턴 스포츠 칸,디젤,2157cc,2023/02/28,0,1,0,0,0,2,752577,1,612928,오토,자가보증,"15,433km",없음,없음,없음,없음,있음
38433930,3800,166도8996,더 K9,가솔린,3342cc,2021/01/15,0,1,0,0,0,2,6467997,0,0,오토,자가보증,"64,802km",없음,없음,없음,있음,있음
38434291,2230,86마6275,렉스턴 스포츠 칸,디젤,2157cc,2020/02/10,0,1,0,0,0,0,0,0,0,오토,자가보증,"52,994km",없음,없음,없음,없음,없음
37598717,500,50머3117,캡티바,디젤,1998cc,2014/01/09,0,1,0,0,0,1,663704,1,792650,오토,보험사보증,"134,643km",없음,없음,없음,없음,없음
38453845,899,23조5167,더 뉴 아반떼,디젤,1591cc,2014/04/25,0,1,0,0,0,3,3992070,0,0,오토,보험사보증,"67,279km",없음,없음,없음,없음,있음
38434027,3399,132더9829,더 뉴 그랜저 IG,가스,2999cc,2022/09/02,0,1,0,0,0,0,0,0,0,오토,자가보증,"29,833km",없음,없음,없음,없음,없음
38434088,1950,92무7291,렉스턴 스포츠 칸,디젤,2157cc,2020/03/02,0,1,0,0,0,0,0,0,0,오토,자가보증,"74,088km",없음,없음,없음,없음,없음
38433784,2930,213머5056,K5 하이브리드 3세대,하이브리드,1999cc,2021/10/25,0,1,0,0,0,2,3328270,0,0,오토,자가보증,"39,054km",없음,없음,없음,없음,있음
37397281,1350,54루8472,올 뉴 카니발,디젤,2199cc,2017/04/14,0,1,0,0,0,1,963412,0,0,오토,보험사보증,"136,507km",없음,없음,없음,없음,없음
38319205,1590,207노3590,스포티지 더 볼드,디젤,1995cc,2018/09/17,1,1,0,0,0,0,0,1,1196705,오토,보험사보증,"91,301km",없음,없음,있음 / 렌트,없음,없음
37923865,3100,845루1940,스타리아,디젤,2199cc,2024/03/13,0,1,0,0,0,0,0,0,0,오토,보험사보증,"7,545km",없음,없음,없음,없음,없음
37806401,4490,32누8604,EV6,전기,111cc,2022/10/07,0,2,0,0,0,1,853079,0,0,오토,보험사보증,"17,633km",없음,없음,없음,없음,없음
37806651,5499,717로3197,쏠라티,디젤,2497cc,2020/09/17,1,2,0,0,0,0,0,0,0,오토,자가보증,"49,451km",없음,없음,있음 / 렌트,없음,없음
38318144,2790,225나9309,더 K9,가솔린,3778cc,2019/09/24,1,1,0,0,0,2,2380439,1,172730,오토,보험사보증,"132,144km",없음,없음,있음 / 렌트,있음,있음
37562273,1700,226두4839,K5 3세대,가스,1999cc,2020/01/10,1,1,0,0,0,1,770086,0,0,오토,자가보증,"90,831km",없음,없음,없음,없음,없음
37520138,980,37마3658,아반떼 AD,가솔린,1591cc,2015/12/10,0,4,0,0,0,4,2879200,3,2151440,오토,자가보증,"116,652km",없음,없음,없음,없음,있음
37250861,2650,72다1540,카니발 4세대,디젤,2151cc,2020/09/15,0,1,0,0,0,2,859278,0,0,오토,자가보증,"92,162km",없음,없음,없음,없음,없음
38177905,3000,224저9460,쏘나타 디 엣지(DN8),가솔린,1999cc,2023/05/24,0,2,0,0,0,0,0,0,0,오토,자가보증,"22,404km",없음,없음,없음,없음,없음
38127199,950,97어5272,코란도 스포츠,디젤,1998cc,2014/06/23,0,4,0,0,0,1,1529423,1,1349927,오토,자가보증,"111,600km",없음,없음,없음,없음,있음
38459702,1650,165다8246,스포티지 4세대,가솔린,1999cc,2018/03/05,1,1,0,0,0,0,0,0,0,오토,자가보증,"116,065km",없음,없음,없음,없음,없음
37768725,1650,176오8876,셀토스,가솔린,1591cc,2021/05/18,1,3,0,0,0,0,0,0,0,오토,자가보증,"104,578km",없음,없음,없음,없음,있음
37143940,1050,24라8152,티볼리,가솔린,1597cc,2017/05/12,0,1,0,0,0,1,2109047,1,301035,오토,자가보증,"67,936km",없음,없음,없음,없음,없음
38567752,2800,84조0836,렉스턴 스포츠,디젤,2157cc,2018/03/06,0,3,0,0,0,1,2729840,8,10279021,오토,자가보증,"72,825km",없음,없음,없음,없음,있음
38324341,2000,72러3573,그랜드 스타렉스,디젤,2497cc,2014/08/20,1,7,0,0,0,1,593900,0,0,-,자가보증,"99,373km",없음,없음,있음 / 렌트,없음,없음
37789339,1800,65누9595,더 뉴 쏘렌토,디젤,1995cc,2018/01/23,0,2,0,0,0,2,1205080,0,0,오토,자가보증,"113,353km",없음,없음,없음,없음,있음
38502334,1500,75두8454,그랜드 스타렉스,디젤,2497cc,2013/01/30,0,3,0,0,0,1,1036320,2,1570604,오토,자가보증,"123,882km",없음,없음,없음,없음,없음
36010378,800,56가2000,에쿠스(신형),가솔린,5038cc,2009/10/26,0,2,0,0,0,2,1884460,1,3209430,-,자가보증,"137,000km",없음,없음,없음,있음,있음
38469537,800,99조1841,그랜드 스타렉스,디젤,2497cc,2014/06/02,1,3,0,0,0,1,1005524,0,0,오토,자가보증,"167,226km",없음,없음,없음,없음,없음
38545675,1399,20더7335,올 뉴 투싼,디젤,1598cc,2018/11/16,0,1,0,0,0,0,0,1,2346907,오토,보험사보증,"103,555km",없음,없음,없음,없음,없음
38347705,1090,295머6404,스포티지 4세대,디젤,1685cc,2017/05/29,1,3,0,0,0,2,1781779,0,0,오토,보험사보증,"122,966km",없음,없음,있음 / 렌트,없음,있음
38602926,3390,193부6172,쏘렌토 4세대,하이브리드,1598cc,2021/01/18,1,2,0,0,0,1,2567100,0,0,오토,자가보증,"53,714km",없음,없음,없음,없음,있음
38151698,5550,334고8769,카니발 4세대,디젤,2151cc,2022/02/24,0,1,0,0,0,0,0,0,0,-,보험사보증,"12,060km",없음,없음,없음,없음,없음
38602908,2990,170마3386,투싼 하이브리드 (NX4),하이브리드,1598cc,2021/01/12,0,2,0,0,0,0,0,2,2346758,오토,자가보증,"20,400km",없음,없음,없음,없음,없음
38212226,1650,182루3564,셀토스,가솔린,1591cc,2019/11/26,0,0,0,0,0,1,1095211,2,986400,오토,자가보증,"101,721km",없음,없음,없음,없음,있음
38285125,310,51로4509,더 뉴 모닝,가솔린,998cc,2015/11/18,1,4,0,0,0,2,622560,0,0,오토,보험사보증,"126,110km",없음,없음,있음 / 렌트,없음,있음
38602637,560,16나7299,더 뉴 K5,가솔린,1999cc,2013/11/27,0,1,0,0,0,0,0,2,1252270,오토,보험사보증,"111,498km",없음,없음,없음,없음,없음
38599585,9999,230로1038,스타리아,디젤,2199cc,2021/05/26,0,1,0,0,0,0,0,0,0,오토,자가보증,"71,978km",없음,없음,없음,없음,없음
38177909,310,17조8547,뉴SM3,가솔린,1598cc,2011/11/25,0,2,0,0,0,3,2960554,2,4261565,오토,자가보증,"115,761km",없음,없음,없음,없음,있음
37273281,529,105오9569,레이,가솔린,998cc,2016/06/08,1,6,0,0,0,1,213138,0,0,오토,자가보증,"134,301km",없음,없음,없음,있음,있음
38317496,259,24누2537,올 뉴 모닝,가솔린,998cc,2013/04/30,0,3,0,0,0,1,601214,0,0,오토,자가보증,"142,617km",없음,없음,없음,없음,있음
38317481,1069,49두0165,티볼리,가솔린,1597cc,2016/08/31,0,1,0,0,0,1,906000,0,0,오토,자가보증,"44,664km",없음,없음,없음,없음,있음
38435373,1159,36무5784,아반떼 AD,가솔린,1591cc,2016/04/01,1,3,0,0,0,0,0,0,0,오토,자가보증,"64,458km",없음,없음,없음,없음,없음
38322388,329,27소5070,뉴카렌스,가스,1998cc,2009/12/07,0,1,0,0,0,3,1297300,2,1315331,오토,자가보증,"194,537km",없음,없음,없음,없음,있음
38601464,899,01너8214,티볼리,가솔린,1597cc,2017/02/16,0,4,0,0,0,0,0,1,2366146,오토,자가보증,"114,976km",없음,없음,없음,없음,없음
38435585,1139,28라8285,아반떼 AD,가솔린,1591cc,2017/09/18,0,1,0,0,0,4,2957332,1,2434088,오토,자가보증,"64,401km",없음,없음,없음,없음,있음
38560408,790,42더1716,K3,가솔린,1591cc,2015/02/05,0,1,0,0,0,0,0,1,1417000,오토,보험사보증,"13,205km",없음,없음,없음,없음,있음
37904129,740,73로7083,그랜드 스타렉스,디젤,2497cc,2015/02/26,0,1,0,0,0,1,443718,1,519650,오토,보험사보증,"190,673km",없음,없음,없음,없음,없음
38550450,520,20저3037,스포티지 R,디젤,1995cc,2010/09/01,0,2,0,0,0,3,6758440,1,1000770,오토,보험사보증,"139,549km",없음,없음,없음,있음,있음
38516537,1470,52가1731,더 뉴 K5 2세대,가솔린,1999cc,2018/11/01,0,4,0,0,0,2,1614707,1,554218,오토,보험사보증,"91,147km",없음,없음,없음,없음,있음
36978030,1050,64조5953,제네시스 DH,가솔린,3342cc,2014/01/09,0,5,0,0,0,3,6239530,2,11123290,오토,보험사보증,"172,343km",없음,없음,없음,있음,있음
38550457,330,66로5002,올 뉴 모닝,가솔린,998cc,2012/02/20,0,4,0,0,0,3,1333627,0,0,오토,보험사보증,"121,364km",없음,없음,없음,있음,있음
38030885,410,72로5966,코란도 투리스모,디젤,1998cc,2014/08/18,0,1,0,0,0,2,1696750,2,891279,오토,보험사보증,"170,471km",없음,없음,없음,없음,없음
37408963,550,226루3363,올 뉴 카렌스,가스,1999cc,2015/04/14,1,2,0,0,0,4,7982571,0,0,오토,보험사보증,"252,339km",없음,없음,없음,있음,있음
37940903,310,48어1721,K5,가스,1998cc,2010/08/20,0,1,0,0,0,3,3431959,2,4999984,오토,보험사보증,"293,542km",없음,없음,없음,없음,있음
38460688,1680,84고6711,렉스턴 스포츠 칸,디젤,2157cc,2020/03/04,0,1,0,0,0,1,1406000,4,6956513,오토,보험사보증,"134,160km",있음 / 적법,없음,없음,없음,있음
