ID,N,NC,OC,TL,FD,TF,CM,CO
38003208,63두8298,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,997,449원","3회/2,781,741원"
38400983,137거3269,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38159659,49라2343,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회646,183원",없음
38175835,38다8830,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회410,130원",없음
37452338,158조1901,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회873,740원","3회/5,751,159원"
37710552,19무7276,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회3,532,711원","1회/540,610원"
38276714,68수5739,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회4,174,160원","2회/2,253,606원"
38417729,04더5525,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,313,287원","3회/3,033,526원"
38475413,57주8021,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,225,840원","1회/739,700원"
38570770,184모8827,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회42,750원","1회/400,919원"
36839087,41두1566,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회892,920원","2회/2,173,530원"
37913245,54누7513,1회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회3,426,140원","1회/1,065,040원"
38321061,56고6702,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"7회5,233,691원","2회/1,666,580원"
38261495,20마0387,1회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회4,007,383원","2회/2,345,359원"
38442861,40라0164,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,936,130원","3회/2,544,200원"
38269821,28서9027,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,758,416원","3회/2,029,110원"
37875047,81누0981,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,324,358원",없음
38381690,28오3118,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,329,300원",없음
37338745,34라6019,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38624007,27우4818,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회5,232,428원","1회/15,746,460원"
38548478,142무4747,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38340034,155허7299,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회5,915,154원",없음
38174242,17무7594,0회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회1,405,519원","3회/4,669,747원"
38286903,143나2247,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
34852443,39두6622,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회426,510원",없음
38452387,259소1618,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,865,449원",없음
38470331,168거4044,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38271182,45더9359,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38579359,397라4583,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/324,730원"
38529574,25버1172,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,917,387원","1회/4,218,600원"
38609145,08부6289,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,107,009원",없음
38281282,29부7772,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회4,149,060원","1회/291,520원"
38618710,247모5567,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"2회/1,183,595원"
38541927,219서1122,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/290,580원"
37898325,41누6347,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회3,135,100원",없음
38410491,102수9768,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회680,359원","1회/748,000원"
37496888,27거7087,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회2,173,288원","1회/361,560원"
37368472,32무1989,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,020,420원","1회/365,392원"
38232735,301모2217,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,920,320원","1회/633,464원"
38541758,243두5411,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회534,501원",없음
38227584,53두0936,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,813,968원","1회/250,000원"
38107544,60수3837,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38430180,207너6221,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38259389,72우1224,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회463,949원",없음
38253054,181수2557,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/7,156,700원"
37210233,333수7991,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38240936,222무4774,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회594,610원",없음
38307330,122무3842,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38417803,67라1359,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37604756,67누3474,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회539,500원","3회/1,642,736원"
38539593,11다9066,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회698,029원",없음
38621431,247모5567,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"2회/1,183,595원"
38214219,35노6179,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,208,753원","1회/2,577,790원"
37683595,48보7441,0회,9회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회5,237,939원","4회/2,373,350원"
37798904,29누3767,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회57,901,000원",1회/미확정
38434417,307구7878,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38566299,146거9841,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38549190,288다1600,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
