id,price,car_number,registration_date,transmission,fuel_type,mileage,mileage_condition,chassis_number,tuning,special_history,usage_change,emission_gas,recall,car_name,year
38445228,1150,14가4510,2018/12/24,-,가솔린,"54,141km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 15ppm,해당 / 이행,더 뉴 레이,2018년식
38271883,1570,192로9259,2018/07/27,-,디젤,"82,236km",양호,양호,없음,없음,있음 / 렌트,매연: 3%,해당 / 이행,더 뉴 카니발,2019년식
38624235,999,185루3501,2016/03/28,오토,가솔린,"264,572km",양호,양호,없음,없음,없음,일산화탄소: 0.04% / 탄화수소: 12ppm,해당없음,제네시스 DH,2016년식
38276674,1400,252우3065,2021/01/12,-,가솔린,"68,383km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.00% / 탄화수소: 1ppm,해당없음,올 뉴 K3,2021년식
38601478,700,13가6910,2014/08/07,오토,가솔린,"102,611km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,레이,2015년식
38611627,2450,165노3695,2023/02/20,-,가솔린,"40,250km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당 / 이행,토레스,2023년식
36985529,570,51로0295,2016/04/01,-,가솔린,"94,085km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 36ppm,해당없음,어메이징 뉴 크루즈,2016년식
38431370,1699,103루1713,2020/07/31,-,LPG(일반인 구입),"107,648km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.13% / 탄화수소: 32ppm,해당 / 미이행,K7 프리미어,2020년식
38205442,1260,102마6653,2021/07/22,오토,가솔린,"17,004km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 1ppm,해당없음,더 뉴 레이,2022년식
38400896,2150,64조9703,2018/11/21,오토,디젤,"118,656km",양호,양호,없음,없음,없음,매연: 3%,해당없음,더 뉴 쏘렌토,2019년식
38411156,1490,36노3973,2019/03/21,-,전기,"162,917km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당 / 이행,쏘울 부스터 EV,2019년식
38606980,450,28수5986,2014/02/06,오토,가솔린,"82,264km",양호,양호,없음,없음,없음,일산화탄소: 0.08% / 탄화수소: 5ppm,해당 / 미이행,크루즈,2014년식
38476225,1300,39버0137,2016/02/19,-,디젤,"58,393km",양호,양호,없음,없음,없음,매연: 5%,해당없음,렉스턴 W,2016년식
38449623,2370,123두4778,2022/02/18,-,가솔린,"36,618km",양호,양호,없음,없음,없음,일산화탄소: 0.12% / 탄화수소: 15ppm,해당없음,더 뉴 QM6,2022년식
38611529,450,15로2674,2011/01/28,오토,가솔린,"134,701km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,아반떼 MD,2011년식
38568213,4900,195소9900,2022/11/15,-,가솔린,"67,625km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 5ppm,해당없음,G80 (RG3),2023년식
38586655,1630,385더3962,2017/01/25,오토,가솔린,"94,045km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 2ppm,해당없음,올 뉴 K7,2017년식
38269071,1950,190마3438,2019/07/12,-,가솔린,"40,700km",양호,양호,없음,없음,없음,일산화탄소: 0.5% / 탄화수소: 1ppm,해당없음,벨로스터 (JS),2019년식
38269370,1220,53조2731,2019/04/30,오토,가솔린,"159,112km",양호,양호,없음,없음,없음,일산화탄소: 0.20% / 탄화수소: 33ppm,해당없음,코나,2019년식
37843528,3050,291거2365,2021/12/29,-,가솔린,"35,437km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,더 뉴 그랜저 IG,2022년식
37605813,420,28로4205,2012/01/02,오토,가솔린,"161,318km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,아반떼 MD,2012년식
38396619,790,20고7366,2014/04/04,-,가솔린,"76,578km",양호,양호,없음,없음,없음,일산화탄소: 0.11% / 탄화수소: 14ppm,해당 / 이행,더 뉴 아반떼,2014년식
38527115,730,160거4924,2019/10/01,-,디젤,"153,256km",양호,양호,없음,없음,없음,매연: 9%,해당 / 미이행,뉴QM3,2019년식
