Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38101168,263두6208,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회567,820원",없음
38203228,03모7447,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회5,714,332원",1회/미확정
38161565,176주7677,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38344511,29너2227,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회535,151원","2회/960,950원"
38595187,205다2581,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37919008,32너2958,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회591,079원","1회/253,300원"
38378035,143너8697,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37296067,19고1529,1회,9회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,288,248원",없음
38614209,222서8278,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회589,049원",없음
38425662,394누6646,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회8,195,790원","1회/2,034,842원"
38176706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38427497,41부8076,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,1회/미확정
38551389,229호2339,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38412021,154고1442,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,330,000원",없음
38476730,128버7912,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,889,600원",없음
38535006,03루3728,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38403767,124라9420,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38601590,87나4305,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,174,457원","1회/939,830원"
38621851,109더8833,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38380060,01오5718,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37599137,164저7789,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37746871,169모1641,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38325008,36어0149,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,367,420원","1회/357,089원"
37041732,47로4823,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,638,540원",없음
38500267,243라3603,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,590,610원",없음
38342962,187러6284,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38344815,60수0953,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,519,743원",없음
38578385,185누9186,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38339493,60누7309,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,164,218원","1회/1,553,343원"
38353041,398다1642,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회6,951,684원",없음
38299850,41로0199,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회5,034,710원","2회/4,367,120원"
36523587,98오1120,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/676,809원"
38480963,159가5028,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38568186,10나4445,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회19,402,740원","1회/867,774원"
38088935,229조3437,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,426,659원",없음
38594845,228너5217,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38292412,61수2604,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회675,648원","1회/1,216,500원"
38604169,251주9210,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38310739,15다1932,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,670,630원",없음
38457004,62주6729,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38607261,204거8265,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38607745,14보9321,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회3,070,575원","2회/1,033,120원"
38437850,175루6614,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38480916,384모5553,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37037190,115부8410,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회11,356,858원","1회/2,303,873원"
38314699,09더5717,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회836,579원","1회/2,740,391원"
