id,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38509332,-,보험사보증,"99,216km",없음,없음,없음,없음,없음
38510429,오토,보험사보증,"263,476km",없음,없음,없음,있음,있음
37363724,-,자가보증,"113,000km",없음,없음,없음,있음,없음
38518941,오토,보험사보증,"22,630km",없음,없음,없음,없음,없음
38406836,-,보험사보증,"63,302km",없음,없음,있음 / 렌트,없음,없음
38417330,오토,보험사보증,"15,438km",없음,없음,있음 / 렌트,없음,없음
38601135,-,보험사보증,"198,198km",없음,없음,없음,없음,없음
37472688,오토,자가보증,"13,447km",없음,없음,없음,있음,있음
38531801,-,보험사보증,"152,418km",없음,없음,없음,없음,없음
38462232,-,자가보증,"213,756km",없음,없음,없음,없음,있음
38498725,오토,보험사보증,"15,591km",없음,없음,없음,없음,없음
38462395,오토,보험사보증,"116,531km",없음,없음,없음,없음,있음
37873390,-,보험사보증,"122,885km",없음,없음,있음 / 렌트,없음,없음
38578756,-,보험사보증,"118,136km",없음,없음,있음 / 렌트,없음,없음
38482693,-,보험사보증,"36,884km",없음,없음,없음,없음,있음
38527850,-,보험사보증,"175,073km",없음,없음,없음,없음,있음
38291319,-,자가보증,"95,999km",없음,없음,없음,없음,없음
37864017,오토,보험사보증,"88,477km",없음,없음,없음,없음,없음
38320744,-,보험사보증,"97,113km",없음,없음,없음,없음,있음
38320169,-,보험사보증,"123,595km",없음,없음,없음,없음,없음
38577881,오토,보험사보증,"73,134km",없음,없음,없음,없음,없음
38577873,오토,보험사보증,"156,157km",없음,없음,없음,없음,있음
38377476,오토,보험사보증,"98,518km",없음,없음,없음,없음,있음
38216815,오토,보험사보증,"84,828km",없음,없음,없음,없음,있음
38522744,오토,보험사보증,"199,630km",없음,없음,없음,없음,있음
38577892,오토,보험사보증,"69,082km",없음,없음,없음,없음,없음
38579249,-,보험사보증,"31,080km",없음,없음,없음,없음,없음
38154341,-,자가보증,"16,008km",없음,없음,있음 / 렌트,없음,있음
38315293,-,보험사보증,"46,173km",없음,없음,없음,없음,있음
38315905,-,보험사보증,"54,203km",없음,없음,없음,없음,있음
38619407,-,보험사보증,"69,053km",없음,없음,없음,없음,있음
38384068,-,보험사보증,"115,904km",없음,없음,있음 / 렌트,없음,있음
38568108,-,보험사보증,"136,681km",없음,없음,있음 / 렌트,없음,없음
38305304,오토,보험사보증,"152,179km",없음,없음,있음 / 렌트,없음,없음
38620491,-,보험사보증,"13,940km",없음,없음,없음,없음,없음
38524919,오토,보험사보증,"35,749km",없음,없음,없음,없음,없음
38456969,-,보험사보증,"118,393km",없음,없음,없음,없음,있음
38401006,-,보험사보증,"104,393km",없음,없음,없음,없음,없음
38067611,-,보험사보증,"115,184km",없음,없음,있음 / 렌트,없음,있음
38410981,-,보험사보증,"93,995km",없음,없음,없음,없음,없음
38288337,-,보험사보증,"111,966km",없음,없음,있음 / 렌트,없음,없음
38264778,-,보험사보증,"100,797km",없음,없음,있음 / 렌트,없음,없음
38576105,-,보험사보증,"82,361km",없음,없음,없음,없음,있음
38353778,-,보험사보증,"125,602km",없음,없음,있음 / 렌트,없음,없음
38287415,-,보험사보증,"127,994km",없음,없음,있음 / 렌트,없음,있음
38226555,-,보험사보증,"89,455km",없음,없음,없음,없음,없음
38628190,-,보험사보증,"198,766km",없음,없음,있음 / 렌트,없음,있음
38611309,-,보험사보증,"134,933km",없음,없음,없음,없음,없음
38535901,-,보험사보증,"150,528km",있음 / 적법,없음,없음,없음,없음
38268812,-,보험사보증,"43,927km",없음,없음,없음,없음,있음
38569293,-,보험사보증,"132,279km",없음,없음,없음,없음,있음
37399200,-,보험사보증,"78,521km",없음,없음,있음 / 렌트,없음,있음
38596550,오토,자가보증,"75,000km",없음,없음,없음,없음,없음
38430181,오토,자가보증,"151,000km",없음,없음,없음,없음,있음
38300653,-,보험사보증,"121,026km",없음,없음,없음,없음,없음
38300663,-,보험사보증,"109,908km",없음,없음,없음,없음,없음
38518260,-,보험사보증,"162,702km",없음,없음,없음,없음,없음
38168901,-,보험사보증,"167,754km",없음,없음,없음,없음,없음
38502014,-,보험사보증,"124,472km",없음,없음,없음,없음,있음
37941816,-,보험사보증,"82,612km",없음,없음,없음,없음,있음
37746709,-,보험사보증,"105,343km",없음,없음,없음,없음,있음
37784290,-,보험사보증,"100,749km",없음,없음,없음,없음,있음
38617245,-,보험사보증,"51,035km",없음,없음,없음,없음,없음
37275821,-,보험사보증,"110,411km",없음,없음,없음,없음,없음
38239511,-,보험사보증,"86,263km",없음,없음,없음,없음,없음
38597371,-,보험사보증,"69,817km",없음,없음,없음,없음,없음
36978067,오토,보험사보증,"130,517km",없음,없음,있음 / 렌트,없음,있음
38406388,-,보험사보증,"118,585km",없음,없음,없음,없음,없음
38305659,-,보험사보증,"82,834km",없음,없음,없음,없음,없음
37598771,-,보험사보증,"80,485km",없음,없음,없음,없음,없음
37630910,-,보험사보증,"131,779km",없음,없음,없음,없음,없음
38448857,-,보험사보증,"128,096km",없음,없음,없음,없음,없음
38578348,-,보험사보증,"71,155km",없음,없음,없음,없음,없음
37046284,-,보험사보증,"108,482km",없음,없음,없음,없음,있음
38369413,-,보험사보증,"128,808km",없음,없음,없음,없음,없음
37223237,-,보험사보증,"103,026km",없음,없음,없음,없음,없음
38490859,-,보험사보증,"86,881km",없음,없음,없음,없음,없음
37223179,-,보험사보증,"170,946km",없음,없음,없음,없음,있음
