id,n,model,fuel,cc,date,nc,oc,tl,fd,tf,cm_num,cm_price,co_num,co_price,price,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38216520,140노7704,토레스,가솔린,1497cc,2023/09/27,0,0,0,0,0,1,1724151,1,1031792,2640,-,보험사보증,"4,731km",없음,없음,없음,있음,있음
38531959,249로9129,GV80,가솔린,3470cc,2020/12/02,1,1,0,0,0,2,487988,0,0,5200,오토,자가보증,"45,683km",없음,없음,있음 / 렌트,없음,있음
38264405,46가0507,더 뉴 K9,가솔린,3342cc,2015/08/12,0,4,0,0,0,5,3704616,0,0,1030,오토,자가보증,"230,384km",없음,없음,없음,없음,없음
38225586,80더2082,마스터,디젤,2299cc,2021/10/28,0,1,0,0,0,0,0,0,0,2690,수동,보험사보증,"25,581km",있음 / 적법,없음,없음,없음,없음
38241644,124러7853,더 뉴 QM6,가스,1998cc,2022/09/07,0,0,0,0,0,1,1138020,0,0,2200,오토,보험사보증,"15,129km",없음,없음,없음,없음,없음
38404699,386우2893,팰리세이드,디젤,2199cc,2021/05/06,0,1,0,0,0,2,870606,1,11370000,3880,오토,보험사보증,"77,253km",없음,없음,없음,없음,없음
38528611,163우4617,쏘렌토 4세대,가솔린,2497cc,2022/08/04,0,1,0,0,0,0,0,1,310686,3540,오토,보험사보증,"29,360km",없음,없음,없음,없음,없음
38265024,64부7636,싼타페 DM,디젤,1995cc,2013/09/13,0,1,0,0,0,3,4392912,1,361040,1139,-,보험사보증,"60,876km",없음,없음,없음,있음,있음
38517009,203더1720,GV80,가솔린,2497cc,2022/11/14,0,0,0,0,0,0,0,1,2519054,9999,-,보험사보증,"27,195km",없음,없음,없음,없음,없음
38547424,394서4157,뷰티풀 코란도,가솔린,1497cc,2019/11/26,1,2,0,0,0,0,0,1,941610,1650,-,자가보증,"48,217km",없음,없음,있음 / 렌트,없음,있음
38221429,09다3644,더 뉴 니로,하이브리드,1580cc,2019/05/10,0,3,0,0,0,0,0,0,0,1930,오토,보험사보증,"111,819km",없음,없음,없음,없음,없음
38537977,364무2137,뷰티풀 코란도,가솔린,1497cc,2020/03/25,0,2,0,0,0,1,867800,0,0,1880,-,보험사보증,"40,692km",없음,없음,없음,없음,있음
38347330,342두3757,K7 프리미어 하이브리드,하이브리드,2359cc,2020/06/09,0,1,0,0,0,2,7636352,0,0,2390,-,보험사보증,"82,629km",없음,없음,없음,있음,있음
38500954,313더9662,셀토스,가솔린,1591cc,2020/02/07,0,0,0,0,0,2,1495753,0,0,2060,오토,보험사보증,"78,075km",없음,없음,없음,없음,없음
37749119,61조2772,올 뉴 프라이드,가솔린,1591cc,2012/10/10,0,1,0,0,0,4,3350515,2,1079400,490,오토,보험사보증,"103,896km",없음,없음,없음,있음,있음
38518311,358무6276,G70,가솔린,3342cc,2019/10/14,1,2,0,0,0,6,13539766,0,0,2310,-,보험사보증,"123,008km",없음,없음,없음,있음,있음
37995388,16모4235,YF 쏘나타,가스,1998cc,2009/11/12,0,4,0,0,0,4,4937365,4,3799942,350,-,자가보증,"144,041km",없음,없음,없음,없음,있음
38503341,50고1304,올 뉴 K3,가솔린,1598cc,2019/03/26,0,1,0,0,0,2,885053,0,0,1520,-,보험사보증,"37,999km",없음,없음,없음,없음,없음
38544974,283소3214,G70,가솔린,1998cc,2019/03/29,1,4,0,0,0,1,2659634,0,0,2400,오토,보험사보증,"75,837km",없음,없음,있음 / 렌트,없음,있음
38627690,160마1033,스포티지 5세대 하이브리드,하이브리드,1598cc,2023/03/22,0,0,0,0,0,0,0,0,0,3670,오토,자가보증,"17,250km",없음,없음,없음,없음,없음
38498951,66주8718,쏘나타 (DN8),가솔린,1999cc,2019/04/10,0,5,0,0,0,1,449800,1,689040,2050,-,보험사보증,"45,777km",없음,없음,없음,없음,없음
38025712,180두9572,트레일블레이저,가솔린,1341cc,2020/12/22,0,1,0,0,0,0,0,0,0,1650,오토,자가보증,"116,205km",없음,없음,없음,없음,없음
37812829,22소1416,G80,가솔린,3342cc,2019/02/28,0,2,0,0,0,0,0,1,567979,3120,오토,자가보증,"69,352km",없음,없음,없음,없음,없음
38344389,315누3378,더 뉴 팰리세이드,디젤,2199cc,2022/09/16,0,0,0,0,0,0,0,0,0,4890,오토,보험사보증,"27,455km",없음,없음,없음,없음,없음
37271153,14모3297,벨로스터,가솔린,1591cc,2012/01/04,0,2,0,0,0,5,10355540,1,9863720,430,-,자가보증,"142,609km",없음,없음,없음,있음,있음
38496330,104소8161,쏘렌토 4세대,하이브리드,1598cc,2020/12/31,1,4,0,0,0,0,0,1,997000,3040,-,보험사보증,"76,428km",없음,없음,있음 / 렌트,없음,있음
38314439,144가4143,모닝 어반 (JA),가솔린,998cc,2020/12/17,0,3,0,0,0,0,0,0,0,1199,오토,보험사보증,"35,497km",없음,없음,없음,없음,없음
38484104,180수2555,더 뉴 그랜저 IG,가솔린,2497cc,2020/03/24,1,3,0,0,0,1,1295280,0,0,2730,오토,보험사보증,"85,852km",없음,없음,없음,없음,없음
38391571,43두6687,QM6,가솔린,1997cc,2018/09/21,0,1,0,0,0,0,0,1,798659,1240,오토,보험사보증,"137,993km",없음,없음,없음,없음,없음
37956560,251로9309,티볼리 아머,가솔린,1597cc,2019/06/05,1,1,0,0,0,1,1178549,0,0,1390,-,보험사보증,"29,249km",없음,없음,있음 / 렌트,없음,있음
37845259,230고2246,G80 (RG3),가솔린,2497cc,2020/10/26,1,2,0,0,0,4,2457944,1,411327,4190,-,보험사보증,"50,661km",없음,없음,없음,없음,있음
38352603,164오3942,더 뉴 싼타페,디젤,2151cc,2020/08/26,0,0,0,0,0,0,0,1,400160,4100,오토,보험사보증,"57,209km",없음,없음,없음,없음,없음
38291618,220나9496,K8 하이브리드,하이브리드,1598cc,2022/02/15,1,1,0,0,0,0,0,0,0,3100,오토,보험사보증,"74,747km",없음,없음,있음 / 렌트,없음,있음
38575717,806서5024,더 뉴 렉스턴 스포츠,디젤,2157cc,2024/07/11,0,1,0,0,0,0,0,0,0,2920,오토,보험사보증,"6,014km",없음,없음,없음,없음,없음
38624837,230루4225,더 뉴 트랙스,가솔린,1362cc,2018/10/19,1,1,0,0,0,0,0,1,733138,799,오토,자가보증,"102,368km",없음,없음,없음,없음,없음
38553986,177라7024,아반떼 (CN7),가스,1591cc,2021/02/25,1,1,0,0,0,1,540000,0,0,1590,-,자가보증,"66,420km",없음,없음,있음 / 렌트,없음,없음
38435804,120구4776,K7 프리미어 하이브리드,하이브리드,2359cc,2020/05/08,1,1,0,0,0,0,0,0,0,2650,-,보험사보증,"77,356km",없음,없음,있음 / 렌트,없음,있음
38556399,32더8189,SM3 네오,가솔린,1598cc,2017/08/04,0,4,0,0,0,4,2774891,1,354961,690,오토,보험사보증,"61,012km",없음,없음,없음,없음,있음
38311951,52모6313,올 뉴 K3,가솔린,1598cc,2019/04/10,0,1,0,0,0,3,1651808,1,1514798,1300,오토,보험사보증,"67,899km",없음,없음,없음,없음,없음
38572080,242무2134,더 뉴 카니발,디젤,2199cc,2019/05/31,1,3,0,0,0,0,0,1,5702300,2270,오토,보험사보증,"91,966km",없음,없음,없음,없음,없음
38499768,267더3131,K5 3세대,가솔린,1999cc,2022/06/09,1,1,0,0,0,1,728600,0,0,2450,오토,보험사보증,"37,650km",없음,없음,있음 / 렌트,없음,없음
37431344,48더1568,포르테,가솔린,1591cc,2011/10/25,0,7,0,0,0,3,1128240,2,1592930,350,-,자가보증,"107,049km",없음,없음,없음,없음,없음
38558042,294부1854,K7 프리미어,가솔린,2497cc,2020/03/26,0,2,0,0,0,0,0,0,0,2350,오토,보험사보증,"664,391km",없음,없음,없음,없음,없음
38320425,41오0777,EQ900,가솔린,3778cc,2016/05/25,0,2,0,0,0,5,6442466,1,906013,1399,-,자가보증,"303,184km",없음,없음,없음,없음,있음
37868172,51거0847,레이,가솔린,998cc,2015/11/16,0,2,0,0,0,0,0,0,0,890,오토,보험사보증,"39,435km",없음,없음,없음,없음,없음
38336659,198머2599,트레일블레이저,가솔린,1341cc,2021/04/23,1,2,0,0,0,0,0,0,0,1850,오토,보험사보증,"53,757km",없음,없음,있음 / 렌트,없음,없음
38435011,153보8457,더 뉴 그랜저 IG,가솔린,3342cc,2020/09/29,1,1,0,0,0,1,422099,1,380478,2399,-,보험사보증,"보통 / 38,179km",없음,없음,있음 / 렌트,있음,있음
38409524,113가3393,팰리세이드,디젤,2199cc,2022/03/24,0,0,0,0,0,0,0,0,0,4550,-,보험사보증,"34,112km",없음,없음,없음,없음,없음
38529312,58다2936,싼타페 TM,디젤,1995cc,2018/10/15,0,1,0,0,0,1,655594,0,0,2340,-,보험사보증,"46,165km",없음,없음,없음,없음,없음
37927337,156오7179,XM3,가솔린,1598cc,2024/03/11,0,0,0,0,0,0,0,0,0,2230,오토,보험사보증,25km,없음,없음,없음,없음,없음
38214461,05우0581,더 뉴 K7,가솔린,2359cc,2015/12/08,0,1,0,0,0,3,1301236,1,330383,1190,-,보험사보증,"56,204km",없음,없음,없음,없음,없음
38287189,34다5188,싼타페 더 프라임,디젤,1998cc,2017/11/03,0,0,0,0,0,3,1987061,0,0,1780,-,보험사보증,"89,143km",없음,없음,없음,없음,없음
38324946,51가7806,더 뉴 레이,가솔린,998cc,2018/08/28,0,1,0,0,0,1,1077961,2,530542,1190,오토,보험사보증,"38,878km",없음,없음,없음,없음,있음
38576386,11마0158,더 뉴 모닝,가솔린,998cc,2016/11/25,0,1,0,0,0,1,679177,1,1672977,660,-,보험사보증,"29,587km",없음,없음,없음,없음,없음
38428932,54모2155,쏘울 부스터,가솔린,1591cc,2019/02/28,0,3,0,0,0,1,979700,0,0,1490,오토,자가보증,"39,070km",없음,없음,없음,없음,없음
38536132,100저2880,K5 3세대,가솔린,1598cc,2020/01/13,0,1,0,0,0,2,4128376,0,0,2160,오토,보험사보증,"57,332km",없음,없음,없음,있음,있음
38203856,35누9200,i40 살룬,디젤,1685cc,2013/10/16,0,5,0,0,0,5,4608261,2,1961336,699,-,보험사보증,"145,853km",없음,없음,없음,있음,있음
37751177,18고7236,올 뉴 쏘렌토,디젤,2199cc,2015/02/09,0,1,0,0,0,4,2283985,2,8353630,990,오토,보험사보증,"183,264km",없음,없음,없음,없음,없음
37667123,60보5232,EQ900,가솔린,5038cc,2018/01/18,0,3,0,0,0,0,0,1,388550,2990,오토,보험사보증,"104,859km",없음,없음,없음,없음,없음
