ID,N,NC,OC,TL,FD,TF,CM,CO
37687740,398소7344,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회2,390,644원","2회/1,173,888원"
38575562,22저5865,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,095,200원","2회/978,310원"
38596622,158나4775,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38496134,182호4904,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회718,216원","3회/4,220,484원"
38603568,222주5882,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38531037,333수8877,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38310295,191다9139,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,300,000원",없음
37961191,28두8415,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회603,800원",없음
38358913,397노9126,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38522045,290저2748,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38025304,192두1484,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회456,761원","1회/1,275,709원"
38607900,127루1818,2회,23회,전손 0회,"침수(전손,분손) 0회",도난 0회,"9회13,916,283원","2회/1,796,378원"
37954684,136더2535,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38466844,322우7734,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38638425,262보1913,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,030,200원",없음
38499166,208거7455,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회751,300원","2회/3,891,590원"
37184894,31누3755,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,746,438원",없음
38495759,147노6863,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회384,909원","1회/1,581,258원"
38564130,263오2187,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38621060,24저4804,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,337,560원",없음
38608256,24서0318,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/805,090원"
38276098,148더9702,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38615357,07부0340,0회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38237425,05모8345,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38481370,239노5943,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,183,539원",없음
38356704,235구8662,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
